plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,cf_ac,cf_dc
59812,Wolf Hollow II,TX,32.337679,-97.734612,ERCO,1231.2,0.0,1231.2,3,0.23058158343453455,0.1773704487957958
60122,Colorado Bend II,TX,29.289415,-96.065399,ERCO,1230.3,0.0,1230.3,3,0.2161888294030561,0.16629909954081237
4040,Port Washington Generating Station,WI,43.3842,-87.8689,MISO,1229.6,0.0,1229.6,6,0.18625874357190517,0.1432759565937732
6042,Manatee,FL,27.6058,-82.3456,FPL,1224.6,0.0,1224.6,5,0.23357568039371113,0.1796736003028547
621,Turkey Point,FL,25.4356,-80.3308,FPL,1224.0,0.0,1224.0,5,0.2356236547504207,0.1812489651926313
55405,Athens Generating Plant,NY,42.2728,-73.8492,NYIS,1221.6,0.0,1221.6,6,0.18336086567583343,0.1410468197506411
613,Lauderdale,FL,26.0686,-80.1984,FPL,1215.9,1215.9,0.0,7,0.2302630985202548,0.177125460400196
55225,Oneta Energy Center,OK,36.0119,-95.6967,SWPP,1214.0,0.0,1214.0,6,0.2164798856643267,0.166522988972559
60356,South Field Energy,OH,40.63534,-80.678245,PJM,1210.4,0.0,1210.4,4,0.1795415077209303,0.13810885209302332
117,West Phoenix,AZ,33.4417,-112.1583,AZPS,1207.4,106.2,1101.2,10,0.26634486431934035,0.20488066486103101
60589,CPV Fairview Energy Center,PA,40.412,-78.855,PJM,1197.0,0.0,1197.0,3,0.17366941595068858,0.1335918584236066
60368,Hummel Station LLC,PA,40.839014,-76.825517,PJM,1194.4,0.0,1194.4,4,0.18548335282113626,0.1426795021701048
6071,Trimble County,KY,38.5847,-85.4117,LGEE,1194.0,1194.0,0.0,6,0.1993742023742348,0.1533647710571037
7826,Rowan,NC,35.7314,-80.6019,DUK,1192.0,598.2,593.8,6,0.21819244507398822,0.16784034236460632
55382,Thomas A Smith Energy Facility,GA,34.7094,-84.9175,SOCO,1192.0,0.0,1192.0,6,0.20386670901578954,0.15682054539676119
3469,T H Wharton,TX,29.9417,-95.5306,ERCO,1189.9,526.3,663.6,17,0.20825496387049483,0.16019612605422678
136,Seminole (FL),FL,29.733056,-81.632778,SEC,1183.2,0.0,1183.2,3,0.2220778888267666,0.17082914525135892
