plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units
54785,Grays Ferry Cogeneration,PA,39.942219,-75.188069,PJM,135.0,135.0,0.0,1
2854,Yankee Street,OH,39.603,-84.2047,PJM,125.5,125.5,0.0,7
10030,Energy Center Dover,DE,39.149549,-75.547335,PJM,118.0,50.0,68.0,3
50463,Procter & Gamble Mehoopany Mill,PA,41.574259,-76.043233,PJM,117.6,117.6,0.0,2
7288,Sherman Avenue,NJ,39.451,-75.0578,PJM,112.8,112.8,0.0,1
7962,Warren F Sam Beasley Generation Station,DE,39.279179,-75.623928,PJM,96.0,96.0,0.0,2
55738,Buchanan Generation LLC,VA,37.175278,-81.961388,PJM,88.0,88.0,0.0,2
55377,Gans,PA,39.7475,-79.838888,PJM,87.6,87.6,0.0,2
55654,Chambersburg,PA,39.866944,-77.685833,PJM,87.6,87.6,0.0,2
55196,Springdale 1 & 2,PA,40.546667,-79.768333,PJM,87.6,87.6,0.0,2
7335,Richmond,IN,39.839572,-84.965682,PJM,82.8,82.8,0.0,2
7138,Forked River,NJ,39.8154,-74.2098,PJM,76.8,76.8,0.0,2
58235,Clayville,NJ,39.424444,-75.02,PJM,73.0,73.0,0.0,1
52149,West Point (PA),PA,40.217963,-75.298823,PJM,70.69999999999999,70.69999999999999,0.0,2
50410,Chester Operations,PA,39.843743,-75.358801,PJM,69.2,0.0,69.2,4
2434,Howard Down,NJ,39.4889,-75.0347,PJM,68.2,68.2,0.0,1
50279,Archbald Power Station,PA,41.485,-75.5406,PJM,60.5,60.5,0.0,1
3110,Hunterstown,PA,39.8662,-77.1648,PJM,60.0,60.0,0.0,3
3132,Warren,PA,41.835947,-79.188668,PJM,53.1,53.1,0.0,1
55262,Bowling Green Generating Station,OH,41.397369,-83.641236,PJM,49.5,49.5,0.0,2
55264,Napoleon Peaking Station,OH,41.4079,-84.1095,PJM,49.5,49.5,0.0,2
55263,Galion Generating Station,OH,40.7167,-82.789,PJM,49.5,49.5,0.0,2
57908,Central Utility Plant Cincinnati,OH,39.134533,-84.509419,PJM,45.3,0.0,45.3,3
7318,Van Sant Station,DE,39.145036,-75.548172,PJM,45.1,45.1,0.0,1
56397,Hunlock Unit 4,PA,41.2025,-76.068333,PJM,44.0,44.0,0.0,1
58207,Central Utility Plant at White Oak,MD,39.039444,-76.9825,PJM,41.7,17.2,24.5,8
2903,Bryan (OH),OH,41.471822,-84.543148,PJM,36.8,36.8,0.0,3
2848,O H Hutchings,OH,39.6088,-84.2921,PJM,32.6,32.6,0.0,1
2909,West 41st Street,OH,41.474,-81.7145,PJM,32.0,32.0,0.0,2
7782,Hamilton Peaking,OH,39.3528,-84.5183,PJM,32.0,32.0,0.0,1
7783,Bowling Green Peaking,OH,41.3884,-83.6402,PJM,32.0,32.0,0.0,1
50628,Paulsboro Refinery,NJ,39.84,-75.2583,PJM,30.5,30.5,0.0,1
10805,Kenilworth Energy Facility,NJ,40.6781,-74.2744,PJM,28.8,0.0,28.8,2
56668,NIH Cogeneration Facility,MD,39.0,-77.0939,PJM,28.0,28.0,0.0,1
55990,Ashtabula,OH,41.890026,-80.7612,PJM,26.1,0.0,26.1,7
3120,Blossburg,PA,41.706475,-77.08184,PJM,24.0,24.0,0.0,1
54044,University of Illinois Cogen Facility,IL,41.8675,-87.6524,PJM,23.4,23.4,0.0,3
56038,UMCP CHP Plant,MD,38.985844,-76.935478,PJM,22.0,22.0,0.0,2
2914,Dover (OH),OH,40.520066,-81.46815,PJM,19.5,19.5,0.0,1
2917,Hamilton (OH),OH,39.4098,-84.5543,PJM,16.3,16.3,0.0,1
58584,Princeton University Cogeneration,NJ,40.341389,-74.657222,PJM,15.5,15.5,0.0,1
59860,HP Hood CT,VA,39.132519,-78.187474,PJM,15.0,15.0,0.0,1
58140,Summit Street Power Plant,OH,41.143056,-81.340833,PJM,13.2,13.2,0.0,2
58328,North Chicago Energy Center,IL,42.306389,-87.851944,PJM,12.4,12.4,0.0,2
10061,"Mars Wrigley Confectionery US, LLC",NJ,40.8625,-74.825,PJM,12.3,0.0,12.3,2
50366,University of Notre Dame,IN,41.7094,-86.2367,PJM,10.8,10.8,0.0,2
57788,US GSA Heating and Transmission,DC,38.885709,-77.028373,PJM,10.8,10.8,0.0,2
58181,Loyola University Health Plant,IL,41.855833,-87.835556,PJM,10.6,10.6,0.0,2
10123,Hoffmann LaRoche,NJ,40.8359,-74.155,PJM,10.6,10.6,0.0,2
50411,Rutgers Biomedical and Health Cogen,NJ,40.73928,-74.187633,PJM,10.5,10.5,0.0,3
58947,Bristol Myers Squibb Lawrenceville,NJ,40.324722,-74.707778,PJM,9.899999999999999,9.899999999999999,0.0,2
54829,Bristol Myers Squibb New Brunswick,NJ,40.475724,-74.446199,PJM,9.5,9.5,0.0,1
61282,APG Combined Heat and Power Plant,MD,39.3975,-76.2991,PJM,7.9,7.9,0.0,1
62492,"DTE Atlantic, LLC",NJ,39.3733,-74.4369,PJM,7.5,7.5,0.0,1
63347,"AOC, Capitol Power Plant",DC,38.882704,-77.007443,PJM,7.5,7.5,0.0,1
58195,East Campus Steam Plant,PA,40.809167,-77.8475,PJM,7.0,7.0,0.0,1
63501,Montclair State University Cogen,NJ,40.865207,-74.196651,PJM,6.4,6.4,0.0,1
60742,Argonne National Laboratory CHP,IL,41.716534,-87.970608,PJM,6.3,6.3,0.0,1
58194,West Campus Steam Plant,PA,40.792778,-77.864722,PJM,6.1,6.1,0.0,1
54333,Bucknell University,PA,40.955015,-76.878843,PJM,5.9,0.0,5.9,2
63485,ECP Uptown Campus,PA,40.43727,-79.98741,PJM,5.6,5.6,0.0,1
63483,ACM - Midtown Thermal,NJ,39.359831,-74.434228,PJM,5.5,5.5,0.0,1
58136,Adkins Energy LLC,IL,42.362222,-89.803611,PJM,5.0,5.0,0.0,1
10122,CIP II/AR Bridgewater Holdings - NJCOE,NJ,40.624,-74.634,PJM,5.0,5.0,0.0,1
59373,Broshco Fabricated Products,OH,40.776111,-82.568611,PJM,4.7,4.7,0.0,4
54933,Mondelez Global LLC,IL,42.3156,-89.0356,PJM,4.7,4.7,0.0,1
61822,"Princeton Energy Center, LLC",NJ,40.339838,-74.62393,PJM,4.6,4.6,0.0,1
63478,Ross Hall Central Utility Plant,DC,38.900216,-77.050788,PJM,4.6,4.6,0.0,1
54790,CSL Behring LLC,IL,41.1603,-87.8542,PJM,4.2,4.2,0.0,1
50326,Nalco,IL,41.800909,-88.197156,PJM,4.0,0.0,4.0,1
63492,DCO Burlington,NJ,40.108316,-74.826404,PJM,3.5,3.5,0.0,1
59794,Chicago West Side Energy Center,IL,41.870751,-87.678378,PJM,3.5,3.5,0.0,1
10302,Juniata Locomotive Shop,PA,40.533299,-78.384125,PJM,1.5,1.5,0.0,1
64241,Maryland Bioenergy Center (Jessup),MD,39.1578,-76.78042,PJM,1.1,1.1,0.0,1
62901,Phoenix Contact - CCHP Plant,PA,40.229379,-76.75007,PJM,1.0,1.0,0.0,1
