plant_code,name,state,ba,lat,lon,nameplate_MW,cf_ac,developable_area_mi2,developable_MW,usable_solar_MW,R_g5,R_g10,R_g20,headroom_g5,headroom_g10,headroom_g20,land_req_mi2_g5,land_req_mi2_g10,land_req_mi2_g20,qualifies_g5,qualifies_g10,qualifies_g20,solar_req_MW_g5,solar_req_MW_g10,solar_req_MW_g20,gas_cf,net_gen_MWh_2024,qualifying_any,hostable_MW_g5,hostable_MW_g10,hostable_MW_g20
55234,Audrain Generating Station,MO,MISO,39.3092,-91.5369,814.4,0.1616226748725759,108.178759154092,9890.629408374125,9869.200836945554,7.641254551526758,7.2390832593411405,6.434740674969902,1.58591371320463,1.6740200306048867,1.883272534430498,68.0644749177246,64.48213413258122,57.317452562294406,1.0,1.0,1.0,6223.037706763391,5895.509406407425,5240.452805695488,0.0205185092983825,146382.0,True,814.4,814.4,814.4
55172,Thad Hill Energy Center,TX,ERCO,31.8594,-97.3586,807.0,0.1723310743685629,74.78791088924004,6837.7518527305165,6816.323281301946,7.166438232484506,6.78925727288006,6.034895353671164,1.1786185796449211,1.2440973896251943,1.3996095633283436,63.255014961414034,59.925803647655414,53.26738102013814,1.0,1.0,1.0,5783.315653614996,5478.9306192142085,4870.160550412629,0.5778574176865667,4085059.0,True,807.0,807.0,807.0
58005,Rayburn Energy Station LLC,TX,ERCO,33.582573,-96.617893,803.2,0.1725266312596783,76.98718739451367,7038.828561784106,7017.399990355534,7.158315159710855,6.781561730252391,6.028054871335458,1.2205110534962773,1.288317223134959,1.4493568760268292,62.88579867805988,59.57601980026726,52.956462044682006,1.0,1.0,1.0,5749.55873627976,5446.95038173872,4841.73367265664,0.5442844773872546,3829603.0,True,803.2,803.2,803.2
55123,Magic Valley Generating Station,TX,ERCO,26.3403,-98.19,801.0,0.1763063294743471,66.59231342093882,6088.4400842001205,6067.011512771549,7.0048534484389835,6.636176951152723,5.898823956580197,1.0812926460298695,1.141364459698195,1.2840350171604695,61.36908325843341,58.13913150798957,51.679228007101834,1.0,1.0,1.0,5610.887612199625,5315.577737873331,4724.957989220738,0.3126559836733763,2193832.0,True,801.0,801.0,801.0
57482,"Sentinel Energy Center, LLC",CA,CISO,33.934167,-116.571388,800.0,0.2144245361279881,48.50779024761676,4434.997965496389,4413.5693940678175,5.759602060012569,5.456465109485594,4.850191208431638,0.9578720344045318,1.0110871474270056,1.1374730408553815,50.396518025109984,47.744069707998946,42.439173073776836,0.0,1.0,1.0,4607.681648010055,4365.172087588475,3880.15296674531,0.0599036815068493,419805.0,True,766.2976275236255,800.0,800.0
55348,Troy Energy LLC,OH,PJM,41.47724,-83.45983,795.6,0.1438679298830728,95.7854590181173,8757.527681656436,8736.099110227866,8.584261975575332,8.132458713702949,7.228852189958176,1.2791451100911668,1.3502087273184535,1.5189848182332601,74.69917467870961,70.76763916930386,62.90456815049231,1.0,1.0,1.0,6829.638827767734,6470.184152622066,5751.274802330725,0.1414987267298911,986169.15,True,795.6,795.6,795.6
55139,Wolf Hollow I LP,TX,ERCO,32.33422,-97.731686,788.4000000000001,0.1773704487957958,62.07630813376296,5675.548172229755,5654.119600801184,6.962828410170167,6.596363757003317,5.863434450669615,1.0299892275435225,1.0872108512959404,1.2231122077079326,60.04133973444864,56.88126922210924,50.56112819743044,1.0,1.0,1.0,5489.49391857816,5200.5731860214155,4622.731720907926,0.464805171563006,3210123.0,True,788.4000000000001,788.4000000000001,788.4000000000001
55402,Renaissance Power Plant,MI,MISO,43.1864,-84.8429,782.0,0.1418793382293623,90.01639778560778,8230.07065468414,8208.642083255567,8.70457964783778,8.246443876898953,7.33017233502129,1.2059151832568769,1.2729104712155916,1.432024280117541,74.45135780041252,70.53286528460137,62.69588025297898,1.0,1.0,1.0,6806.9812846091445,6448.719111734981,5732.194765986649,0.1562124105151292,1070105.0,True,782.0,782.0,782.0
57794,St Joseph Energy Center,IN,PJM,41.698992,-86.479699,780.0,0.1420532693515647,81.14736093237681,7419.187285245879,7397.758713817308,8.693921693160922,8.236346867205086,7.321197215293409,1.0909122922991539,1.1515185307602178,1.295458347105245,74.17001944477913,70.2663342108434,62.4589637429719,1.0,1.0,1.0,6781.258920665519,6424.350556419967,5710.533827928859,0.8235092495024002,5626874.0,True,780.0,780.0,780.0
55656,"Pastoria Energy Facility, LLC",CA,CISO,34.9556,-118.844,779.0,0.1915093262742491,56.68844556238239,5182.943594274961,5161.515022846389,6.448772099127067,6.109363041278276,5.43054492558069,1.0274547609358282,1.0845355809878183,1.2201025286112959,54.9455535258436,52.053682287641315,46.269939811236725,1.0,1.0,1.0,5023.593465219986,4759.193809155777,4230.394497027357,0.5871993716332261,4007072.0,True,779.0,779.0,779.0
