plant_code,cached,developable_mi2_box,developable_mi2_box_incl_forest,frac_excl_slope,frac_excl_protected,frac_forest,name,state
55455,False,112.38341166061922,112.38341166061922,0.08504375,0.4070640625,0.0,Red Hawk,AZ
55841,False,23.329914048200454,23.329914048200454,0.4339640625,0.8537984375,0.0020265625,Silverhawk,NV
59220,True,80.98125978377185,,,,,Wildcat Point Generation Facility,MD
55097,False,156.4405251062855,186.3043301528522,0.0005546875,0.028390625,0.1440828125,Lamar Power Project,TX
59906,True,39.00319063120908,,,,,Moxie Freedom Generation Plant,PA
55061,False,35.17834681804005,127.86556767514934,0.2892609375,0.031615625,0.6773515625,Tenaska Georgia Generation Facility,GA
7153,True,27.875456150504814,,,,,Hay Road,DE
55153,False,134.3105007361874,154.83650229883676,0.0262046875,0.00110625,0.1007375,Guadalupe Generating Station,TX
55279,True,19.722947683096926,,,,,Aurora,IL
55419,False,59.49062058822005,60.8145648898621,0.0018859375,0.0003828125,0.00608125,Plaquemine Cogeneration Plant,LA
7757,False,115.33118581044323,165.71334759692016,0.0907171875,0.0013296875,0.301134375,Chouteau,OK
55927,False,16.244900828730717,83.4331629313798,0.003534375,0.0726984375,0.3043828125,Jasper,SC
58215,False,88.73658496068713,111.2940244202917,0.009903125,0.024265625,0.1067546875,Lee Combined Cycle Plant,NC
59764,True,70.22499418980128,,,,,Oregon Clean Energy Center,OH
54,True,56.6352792951511,,,,,J K Smith,KY
358,False,24.680615229429492,24.83003676478542,0.360534375,0.1519421875,0.0069203125,Mountainview Generating Station,CA
55226,False,82.62072676937478,115.02921531224719,0.0208484375,0.0869203125,0.1522109375,Freestone Energy Center,TX
61028,True,67.20459422395543,,,,,Hickory Run Energy Station,PA
2706,False,19.872021726510162,36.54989751583038,0.6181046875,0.1546953125,0.5155359375,Asheville,NC
55439,True,40.78686677302762,,,,,Tenaska Virginia Generating Station,VA
55451,False,48.900803634797114,112.07935621076705,0.2877421875,0.2140921875,0.640003125,Magnolia Power Plant,MS
60926,False,21.802686960085808,22.982074613569566,0.0002890625,0.0147828125,0.005303125,St. Charles Power Station (LA),LA
60925,False,50.58474958906414,97.95728365991855,0.005946875,0.1669234375,0.3345390625,Montgomery County,TX
60927,False,31.301031721525103,72.36450208093252,0.00106875,0.0074078125,0.1886734375,Lake Charles Power,LA
3405,False,50.39328152864294,65.18740349665042,0.6293265625,0.0042140625,0.518403125,John Sevier,TN
55286,False,13.080986690554647,17.57544747728384,0.0018328125,0.2583796875,0.024728125,Oleander Power Project LP,FL
55144,False,138.56762452606057,168.92382565541644,0.039625,0.007725,0.161090625,Hays Energy Project,TX
55166,False,42.613284423796806,110.19212747002743,0.3402640625,0.005428125,0.5716453125,Broad River Energy Center,SC
