plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,net_gen_MWh_2024,gas_cf,cf_ac,cf_dc,developable_area_mi2_10km_excl_forest,developable_MW_10km_excl_forest,developable_area_mi2_10km_incl_forest,developable_MW_10km_incl_forest,developable_area_mi2_5km_excl_forest,developable_MW_5km_excl_forest,developable_area_mi2_5km_incl_forest,developable_MW_5km_incl_forest
55524,York Energy Center,PA,39.7375,-76.306666,PJM,1449.4,0.0,1449.4,7,9155096.1,0.7210585721819704,0.1539311040021332,0.1539311040021332,36.038736868136034,3294.9702279438657,49.67675314281987,4541.874573057816,8.889538877849564,812.7578402605315,12.191059825330163,1114.6111840301862
65978,Dania Beach 7,FL,26.0686,-80.1984,FPL,1447.7,0.0,1447.7,3,7051595.1,0.556038274220516,0.177125460400196,0.177125460400196,0.5976861414237061,54.64559007302455,0.7008912484021018,64.08148556819216,0.2001553589884039,18.29991853608264,0.24671927930862286,22.557191251074087
55358,Cottonwood Energy Company LP,TX,30.2588,-93.7353,MISO,1433.6,0.0,1433.6,8,5975182.0,0.4757940860954827,0.1593004454844685,0.1593004454844685,8.66992397007062,792.6787629778852,39.56091519922364,3616.9979610718756,1.6040228074487368,146.65351382388448,4.439209567841771,405.870589059819
55463,Redbud Power Plant,OK,35.6856,-97.2264,SWPP,1433.6,0.0,1433.6,8,5123359.0,0.4079647972470238,0.174645462592314,0.174645462592314,57.0651268282564,5217.383024297727,103.51576477515901,9464.298493728822,15.027984045436638,1373.9871127256351,25.968072877089277,2374.223805905305
55736,Hanging Rock Energy Facility,OH,38.5731,-82.7833,PJM,1429.8000000000002,0.0,1429.8000000000002,6,8326927.0,0.6648219631573467,0.1427374761805116,0.1427374761805116,13.457667956428656,1230.415356016334,22.601223444383294,2066.397572057901,4.160173537863145,380.3587234617732,6.6506482911094835,608.0592723300099
3406,Johnsonville,TN,36.0278,-87.9861,TVA,1426.0,1426.0,0.0,20,777787.14,0.0622640156391093,0.1498293886301956,0.1498293886301956,13.388517059833704,1224.0929883276528,33.48362861354969,3061.360330381686,2.533911246082363,231.67188535610174,6.683660025664862,611.0774880607873
2398,Bergen Generating Station,NJ,40.8375,-74.0244,PJM,1400.8,0.0,1400.8,8,2159204.0,0.1759597907523163,0.1509720791750741,0.1509720791750741,0.37633377393132195,34.407659330863716,0.8287682833113599,75.77310018846718,0.07054086436570485,6.449450456293014,0.11884224439936482,10.865576630799067
260,Dynegy Moss Landing Power Plant Hybrid,CA,36.804837,-121.782241,CISO,1398.0,0.0,1398.0,6,4026041.0,0.3287508737204486,0.1764526568052767,0.1764526568052767,33.61567555177121,3073.433193304796,34.06984752086469,3114.9574876219144,9.530661512109296,871.3747668214212,9.552553504498652,873.3763204113052
55173,Acadia Energy Center,LA,30.428611,-92.413056,MISO,1389.1999999999998,0.0,1389.1999999999998,6,5787348.0,0.4755659115919678,0.1643862695000926,0.1643862695000926,84.770311926844,7750.428519025736,88.88218408467348,8126.371116313003,20.84256672243831,1905.6061003372167,21.921529204485175,2004.2540986957872
56150,McIntosh Combined Cycle Facility,GA,32.3478,-81.1817,SOCO,1376.6,0.0,1376.6,6,8034741.0,0.6662849605639465,0.1644808512694447,0.1644808512694447,10.419198409563025,952.6124260171907,42.545523494972606,3889.876433826066,2.3546054036552513,215.27820833419437,8.936450290112472,817.0468836674258
2322,Clark (NVE),NV,36.0875,-115.0507,NEVP,1375.6,796.8,578.8,19,984492.0,0.081698845236151,0.2060100819643321,0.2060100819643321,5.350680933512923,489.2051139211814,5.373962893673032,491.33375027867714,1.5480766046759364,141.53843242751418,1.5501615563320656,141.7290565789317
55501,Kiamichi Energy Facility,OK,34.6831,-95.9349,ERCO,1370.0,0.0,1370.0,6,5313755.0,0.4427686398026864,0.1690037173180389,0.1690037173180389,50.00304807700409,4571.707252754659,92.44884138442518,8452.465498004587,11.219819845516641,1025.8121001615214,22.338172043768328,2042.3471582873897
